Exercício,Tempo
EX 1,24
EX 1,29
EX 1,26
EX 1,25
EX 1,27
EX 1,23
EX 1,27
EX 1,28
EX 1,23
EX 1,29
EX 1,22
EX 1,25
EX 1,27
EX 1,22
EX 2,28
EX 2,25
EX 2,21
EX 2,27
EX 2,28
EX 2,30
EX 2,28
EX 2,24
EX 2,26
EX 2,23
EX 2,23
EX 2,23
EX 2,29
EX 2,24
EX 3,15
EX 3,16
EX 3,13
EX 3,18
EX 3,16
EX 3,11
EX 3,20
EX 3,18
EX 3,14
EX 3,16
EX 3,18
EX 3,13
EX 3,12
EX 3,17
EX 4,19
EX 4,19
EX 4,10
EX 4,11
EX 4,10
EX 4,16
EX 4,13
EX 4,17
EX 4,16
EX 4,12
EX 4,16
EX 4,12
EX 4,13
EX 4,10
