Exercício,Tempo,NSub
EX 1,22,3
EX 1,21,5
EX 1,24,1
EX 1,19,2
EX 1,19,2
EX 1,23,4
EX 1,16,1
EX 1,20,4
EX 1,17,3
EX 1,22,1
EX 1,21,4
EX 1,25,5
EX 1,30,6
EX 1,15,5
EX 2,20,2
EX 2,25,4
EX 2,18,3
EX 2,16,2
EX 2,23,5
EX 2,27,6
EX 2,25,2
EX 2,17,5
EX 2,27,1
EX 2,24,5
EX 2,26,5
EX 2,26,4
EX 2,19,3
EX 2,27,1
EX 3,19,3
EX 3,8,5
EX 3,12,1
EX 3,8,5
EX 3,20,4
EX 3,18,2
EX 3,16,5
EX 3,8,1
EX 3,13,2
EX 3,14,5
EX 3,20,5
EX 3,15,6
EX 3,8,3
EX 3,17,6
EX 4,8,5
EX 4,16,2
EX 4,18,5
EX 4,14,3
EX 4,9,5
EX 4,13,6
EX 4,12,4
EX 4,13,5
EX 4,8,6
EX 4,19,6
EX 4,16,3
EX 4,8,5
EX 4,20,5
EX 4,13,3
